b_1,b_2
30.7278023061082,3
30.7399529694672,3
30.7473025738651,3
30.7576803409404,4
30.7675318101703,3
30.7798508809776,3
30.7910504252597,3
30.7998603135667,3
30.808212242666,3
30.8205964210044,4
30.8292659052886,3
30.8386718099389,3
30.8466761656619,4
30.8571457038629,3
30.8652295543194,3
30.8719388976109,4
30.8801450511621,3
30.8894251709135,3
30.8976130572365,4
30.9051195779746,3
30.9139623858735,3
30.924317246705,3
30.931046640398,3
30.9433796444451,4
30.9528875253736,3
30.9631571262712,3
30.9761207365651,3
30.9822362575304,3
30.9923496216241,3
31.0023574966459,3
31.0115974976903,3
31.0227678276053,3
31.032598756346,3
31.0428404833483,3
31.0503039845069,3
31.0559702220343,3
31.0675443684179,4
31.079714910631,3
31.090140501599,4
31.102889771644,3
31.1133415786947,3
31.1255964664279,3
31.1350045111155,5
31.1452677915932,3
31.1530092012946,3
31.1597804410753,3
31.1687892870877,5
31.177089882457,3
31.1869308218636,3
31.1931258571757,3
31.2038123059327,5
31.2125680896439,3
31.2182397286436,3
31.2255907123759,4
31.2352068192332,5
31.2434379079631,4
31.2515431137396,3
31.2602586756626,3
31.269289900859,3
31.2768481050098,3
31.285377811988,3
31.2940233227813,4
31.3019651864262,3
31.3089860471739,3
31.3173596405379,3
31.3243243985279,3
31.3312134574686,3
31.3426111045353,3
31.3517261582785,4
31.3618171275821,5
31.3694121044965,3
31.3766598407668,3
31.3851114793495,4
31.3952066243566,4
31.4023468438718,3
31.4089515662666,3
31.4156397257508,5
31.4233826463532,3
31.4305061067074,3
31.437492265675,4
31.4452609908327,4
31.451112731236,4
31.4590490824695,4
31.4673573655199,3
31.4714786701261,3
31.4800957641558,3
31.4878751349264,3
31.4948816172321,4
31.5030574901313,4
31.5131378958295,3
31.5221031166788,3
31.530564409835,3
31.5410620138113,4
31.5516474121223,3
31.5591805906475,3
31.5687208274302,3
31.5771484680812,4
31.5862915372444,3
31.5973541897984,3
31.6082215374594,3
31.6153059778585,3
31.6226278395477,3
31.6281051166387,3
31.6353695616516,3
31.6456136364358,3
31.6526955721935,3
31.6604043199121,3
31.6693275310724,3
31.6768633972869,3
31.6846457339148,3
31.6923744360685,4
31.6999370147805,3
