
# Surface 0 of 1 surfaces

# Curve title: "'TikzDaten/Verteilung.dat'"
# IsoCurve 0, 42 points
# x y z type
3.8510638e+01 3.2926829e+00 3.7716727e+02 i
3.8510638e+01 4.4390244e+00 -2.4621075e+01 i
3.8510638e+01 5.5853659e+00 4.0923211e+00 i
3.8510638e+01 6.7317073e+00 -1.6583868e+00 i
3.8510638e+01 7.8780488e+00 -1.0733835e-01 i
3.8510638e+01 9.0243902e+00 -4.8689594e-02 i
3.8510638e+01 1.0170732e+01 -2.4987088e-02 i
3.8510638e+01 1.1317073e+01 -1.8392302e-02 i
3.8510638e+01 1.2463415e+01 -1.2325695e-02 i
3.8510638e+01 1.3609756e+01 -1.0391928e-02 i
3.8510638e+01 1.4756098e+01 -8.6474250e-03 i
3.8510638e+01 1.5902439e+01 -7.5863745e-03 i
3.8510638e+01 1.7048780e+01 -6.5423220e-03 i
3.8510638e+01 1.8195122e+01 -5.5260942e-03 i
3.8510638e+01 1.9341463e+01 -4.6508392e-03 i
3.8510638e+01 2.0487805e+01 -4.0193564e-03 i
3.8510638e+01 2.1634146e+01 -3.6311888e-03 i
3.8510638e+01 2.2780488e+01 -3.3933400e-03 i
3.8510638e+01 2.3926829e+01 -3.1796048e-03 i
3.8510638e+01 2.5073171e+01 -2.9066337e-03 i
3.8510638e+01 2.6219512e+01 -2.5858359e-03 i
3.8510638e+01 2.7365854e+01 -2.2921803e-03 i
3.8510638e+01 2.8512195e+01 -2.0878852e-03 i
3.8510638e+01 2.9658537e+01 -1.9806922e-03 i
3.8510638e+01 3.0804878e+01 -1.9274679e-03 i
3.8510638e+01 3.1951220e+01 -1.8639458e-03 i
3.8510638e+01 3.3097561e+01 -1.7502814e-03 i
3.8510638e+01 3.4243902e+01 -1.6016943e-03 i
3.8510638e+01 3.5390244e+01 -1.4680002e-03 i
3.8510638e+01 3.6536585e+01 -1.3882855e-03 i
3.8510638e+01 3.7682927e+01 -1.3666577e-03 i
3.8510638e+01 3.8829268e+01 -1.3735600e-03 i
3.8510638e+01 3.9975610e+01 -1.3661276e-03 i
3.8510638e+01 4.1121951e+01 -1.3237889e-03 i
3.8510638e+01 4.2268293e+01 -1.2356840e-03 i
3.8510638e+01 4.3414634e+01 -1.3351736e-03 i
3.8510638e+01 4.4560976e+01 -6.5259961e-04 i
3.8510638e+01 4.5707317e+01 -3.4564860e-03 i
3.8510638e+01 4.6853659e+01 1.7857422e-03 i
3.8510638e+01 4.8000000e+01 5.6556398e-03 i

# IsoCurve 5, 42 points
# x y z type
3.7638298e+01 1.0000000e+00 5.5063706e+02 i
3.7638298e+01 2.1463415e+00 4.8779514e+02 i
3.7638298e+01 3.2926829e+00 3.3500488e+02 i
3.7638298e+01 4.4390244e+00 -3.1741192e+01 i
3.7638298e+01 5.5853659e+00 8.6412612e+00 i
3.7638298e+01 6.7317073e+00 1.8245455e+00 i
3.7638298e+01 7.8780488e+00 5.0924101e-01 i
3.7638298e+01 9.0243902e+00 -1.8459119e-02 i
3.7638298e+01 1.0170732e+01 3.0184755e-02 i
3.7638298e+01 1.1317073e+01 -2.1333225e-03 i
3.7638298e+01 1.2463415e+01 6.2737450e-03 i
3.7638298e+01 1.3609756e+01 1.5271399e-03 i
3.7638298e+01 1.4756098e+01 2.1467443e-03 i
3.7638298e+01 1.5902439e+01 1.7960645e-03 i
3.7638298e+01 1.7048780e+01 1.5799512e-03 i
3.7638298e+01 1.8195122e+01 1.2934341e-03 i
3.7638298e+01 1.9341463e+01 1.0386359e-03 i
3.7638298e+01 2.0487805e+01 8.7433723e-04 i
3.7638298e+01 2.1634146e+01 8.0091047e-04 i
3.7638298e+01 2.2780488e+01 7.8112401e-04 i
3.7638298e+01 2.3926829e+01 7.5959295e-04 i
3.7638298e+01 2.5073171e+01 6.9559318e-04 i
3.7638298e+01 2.6219512e+01 5.9757497e-04 i
3.7638298e+01 2.7365854e+01 5.0689238e-04 i
3.7638298e+01 2.8512195e+01 4.5306592e-04 i
3.7638298e+01 2.9658537e+01 4.3924606e-04 i
3.7638298e+01 3.0804878e+01 4.4698332e-04 i
3.7638298e+01 3.1951220e+01 4.4648232e-04 i
3.7638298e+01 3.3097561e+01 4.1679071e-04 i
3.7638298e+01 3.4243902e+01 3.6675651e-04 i
3.7638298e+01 3.5390244e+01 3.2238515e-04 i
3.7638298e+01 3.6536585e+01 3.0138170e-04 i
3.7638298e+01 3.7682927e+01 3.0514932e-04 i
3.7638298e+01 3.8829268e+01 3.2102406e-04 i
3.7638298e+01 3.9975610e+01 3.2811569e-04 i
3.7638298e+01 4.1121951e+01 3.0994910e-04 i
3.7638298e+01 4.2268293e+01 3.0954632e-04 i
3.7638298e+01 4.3414634e+01 1.2036796e-04 i
3.7638298e+01 4.4560976e+01 9.6964178e-04 i
3.7638298e+01 4.5707317e+01 -2.2520176e-03 i
3.7638298e+01 4.6853659e+01 4.8400073e-03 i
3.7638298e+01 4.8000000e+01 6.6355700e-03 i

# IsoCurve 6, 42 points
# x y z type
3.6765957e+01 1.0000000e+00 5.4804246e+02 i
3.6765957e+01 2.1463415e+00 6.2072310e+02 i
3.6765957e+01 3.2926829e+00 -8.5529581e+01 i
3.6765957e+01 4.4390244e+00 -9.2831489e+00 i
3.6765957e+01 5.5853659e+00 -1.2821480e+01 i
3.6765957e+01 6.7317073e+00 -8.6101204e+00 i
3.6765957e+01 7.8780488e+00 -4.4977355e-01 i
3.6765957e+01 9.0243902e+00 -1.2991683e-02 i
3.6765957e+01 1.0170732e+01 4.1243050e-02 i
3.6765957e+01 1.1317073e+01 -3.8358172e-02 i
3.6765957e+01 1.2463415e+01 7.8599835e-03 i
3.6765957e+01 1.3609756e+01 -2.4260279e-03 i
3.6765957e+01 1.4756098e+01 -3.9794226e-05 i
3.6765957e+01 1.5902439e+01 -4.2432496e-04 i
3.6765957e+01 1.7048780e+01 -3.2857534e-04 i
3.6765957e+01 1.8195122e+01 -2.4625362e-04 i
3.6765957e+01 1.9341463e+01 -1.7693598e-04 i
3.6765957e+01 2.0487805e+01 -1.3889072e-04 i
3.6765957e+01 2.1634146e+01 -1.3174994e-04 i
3.6765957e+01 2.2780488e+01 -1.4217058e-04 i
3.6765957e+01 2.3926829e+01 -1.5058739e-04 i
3.6765957e+01 2.5073171e+01 -1.3835064e-04 i
